Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-01-04,147500.0,148000.0,143500.0,144000.0,101998.484375,445332,2026-03-03 06:42:14.237280+00:00
2016-01-05,143000.0,145000.0,142000.0,143500.0,101644.328125,530496,2026-03-03 06:42:14.237280+00:00
2016-01-06,144000.0,145000.0,139000.0,140000.0,99165.1953125,769406,2026-03-03 06:42:14.237280+00:00
2016-01-07,138500.0,140000.0,137500.0,137500.0,97394.390625,586187,2026-03-03 06:42:14.237280+00:00
2016-01-08,134500.0,138000.0,133500.0,136500.0,96686.0625,888701,2026-03-03 06:42:14.237280+00:00
2016-01-11,134500.0,140500.0,134000.0,140000.0,99165.1953125,542749,2026-03-03 06:42:14.237280+00:00
2016-01-12,140500.0,141500.0,139000.0,139500.0,98811.03125,386506,2026-03-03 06:42:14.237280+00:00
2016-01-13,140500.0,141500.0,139500.0,140500.0,99519.375,338336,2026-03-03 06:42:14.237280+00:00
2016-01-14,138500.0,143500.0,136500.0,141000.0,99873.515625,664829,2026-03-03 06:42:14.237280+00:00
2016-01-15,141000.0,142000.0,136500.0,138500.0,98102.7265625,568653,2026-03-03 06:42:14.237280+00:00
2016-01-18,137500.0,140000.0,135500.0,139000.0,98456.8984375,400716,2026-03-03 06:42:14.237280+00:00
2016-01-19,138000.0,140000.0,136000.0,140000.0,99165.1953125,332956,2026-03-03 06:42:14.237280+00:00
2016-01-20,139500.0,140000.0,135500.0,136500.0,96686.0625,544330,2026-03-03 06:42:14.237280+00:00
2016-01-21,136000.0,138000.0,135500.0,137000.0,97040.21875,455723,2026-03-03 06:42:14.237280+00:00
2016-01-22,138000.0,140500.0,136500.0,139000.0,98456.8984375,551671,2026-03-03 06:42:14.237280+00:00
2016-01-25,140000.0,140500.0,136000.0,137500.0,97394.390625,543064,2026-03-03 06:42:14.237280+00:00
2016-01-26,136500.0,137000.0,134500.0,136000.0,96331.90625,564584,2026-03-03 06:42:14.237280+00:00
2016-01-27,135500.0,137000.0,134500.0,137000.0,97040.21875,702981,2026-03-03 06:42:14.237280+00:00
2016-01-28,135500.0,136500.0,134500.0,135000.0,95623.5859375,480730,2026-03-03 06:42:14.237280+00:00
2016-01-29,135000.0,136000.0,131000.0,133000.0,94206.9453125,990382,2026-03-03 06:42:14.237280+00:00
2016-02-01,132000.0,132500.0,130500.0,132500.0,93852.7734375,689972,2026-03-03 06:42:14.237280+00:00
2016-02-02,131500.0,132500.0,129000.0,129500.0,91727.84375,594441,2026-03-03 06:42:14.237280+00:00
2016-02-03,127500.0,129500.0,126500.0,129000.0,91373.65625,649021,2026-03-03 06:42:14.237280+00:00
2016-02-04,130000.0,132500.0,129500.0,132500.0,93852.7734375,600523,2026-03-03 06:42:14.237280+00:00
2016-02-05,132000.0,133500.0,131000.0,133500.0,94561.109375,513150,2026-03-03 06:42:14.237280+00:00
2016-02-11,130500.0,132500.0,130500.0,131000.0,92790.2890625,688873,2026-03-03 06:42:14.237280+00:00
2016-02-12,131500.0,137500.0,131000.0,137000.0,97040.21875,1264899,2026-03-03 06:42:14.237280+00:00
2016-02-15,137500.0,141500.0,135000.0,139500.0,98811.03125,879160,2026-03-03 06:42:14.237280+00:00
2016-02-16,139500.0,142500.0,137500.0,141000.0,99873.515625,524822,2026-03-03 06:42:14.237280+00:00
2016-02-17,142000.0,147500.0,141000.0,147000.0,104123.4609375,772996,2026-03-03 06:42:14.237280+00:00
2016-02-18,147500.0,149000.0,145500.0,147000.0,104123.4609375,468798,2026-03-03 06:42:14.237280+00:00
2016-02-19,147000.0,151000.0,147000.0,149000.0,105540.1171875,477553,2026-03-03 06:42:14.237280+00:00
2016-02-22,147500.0,148500.0,146000.0,147500.0,104477.6328125,273335,2026-03-03 06:42:14.237280+00:00
2016-02-23,148000.0,149000.0,146500.0,149000.0,105540.1171875,250401,2026-03-03 06:42:14.237280+00:00
2016-02-24,147500.0,150000.0,146500.0,149000.0,105540.1171875,191286,2026-03-03 06:42:14.237280+00:00
2016-02-25,149500.0,153000.0,145500.0,147000.0,104123.4609375,490265,2026-03-03 06:42:14.237280+00:00
2016-02-26,148000.0,148000.0,144500.0,147000.0,104123.4609375,351408,2026-03-03 06:42:14.237280+00:00
2016-02-29,145500.0,149000.0,144500.0,147500.0,104477.6328125,570117,2026-03-03 06:42:14.237280+00:00
2016-03-02,150000.0,150000.0,148000.0,150000.0,106248.421875,539821,2026-03-03 06:42:14.237280+00:00
2016-03-03,151500.0,151500.0,146000.0,147500.0,104477.6328125,627810,2026-03-03 06:42:14.237280+00:00
2016-03-04,146000.0,147500.0,143500.0,147500.0,104477.6328125,696287,2026-03-03 06:42:14.237280+00:00
2016-03-07,147500.0,147500.0,145500.0,146500.0,103769.296875,317439,2026-03-03 06:42:14.237280+00:00
2016-03-08,145000.0,149500.0,145000.0,148000.0,104831.7734375,366489,2026-03-03 06:42:14.237280+00:00
2016-03-09,147000.0,149500.0,146500.0,149500.0,105894.2890625,452965,2026-03-03 06:42:14.237280+00:00
2016-03-10,149000.0,150000.0,148000.0,148000.0,104831.7734375,690061,2026-03-03 06:42:14.237280+00:00
2016-03-11,147500.0,150000.0,147500.0,149000.0,105540.1171875,408175,2026-03-03 06:42:14.237280+00:00
2016-03-14,150000.0,150500.0,147000.0,148500.0,105185.9609375,362075,2026-03-03 06:42:14.237280+00:00
2016-03-15,148500.0,149000.0,146000.0,147000.0,104123.4609375,309077,2026-03-03 06:42:14.237280+00:00
2016-03-16,147000.0,148000.0,145500.0,146500.0,103769.296875,206136,2026-03-03 06:42:14.237280+00:00
2016-03-17,148000.0,148500.0,146000.0,146500.0,103769.296875,492380,2026-03-03 06:42:14.237280+00:00
2016-03-18,148000.0,150500.0,147500.0,150500.0,106602.5859375,769047,2026-03-03 06:42:14.237280+00:00
2016-03-21,151000.0,155000.0,149500.0,154500.0,109435.859375,803657,2026-03-03 06:42:14.237280+00:00
2016-03-22,155500.0,159000.0,155000.0,159000.0,112623.3125,872121,2026-03-03 06:42:14.237280+00:00
2016-03-23,159500.0,159500.0,157000.0,158000.0,111915.0390625,454762,2026-03-03 06:42:14.237280+00:00
2016-03-24,156500.0,157000.0,154500.0,155500.0,110144.1875,288522,2026-03-03 06:42:14.237280+00:00
2016-03-25,154500.0,155500.0,152000.0,153000.0,108373.40625,279961,2026-03-03 06:42:14.237280+00:00
2016-03-28,153000.0,156500.0,152000.0,154000.0,109081.7265625,186865,2026-03-03 06:42:14.237280+00:00
2016-03-29,155000.0,156000.0,153500.0,155000.0,109790.0234375,229075,2026-03-03 06:42:14.237280+00:00
2016-03-30,156000.0,159000.0,155000.0,155500.0,110144.1875,373060,2026-03-03 06:42:14.237280+00:00
2016-03-31,156000.0,156000.0,151500.0,152500.0,108019.25,575626,2026-03-03 06:42:14.237280+00:00
2016-04-01,152500.0,152500.0,147500.0,149500.0,105894.2890625,604435,2026-03-03 06:42:14.237280+00:00
2016-04-04,148500.0,149500.0,143500.0,144000.0,101998.484375,767267,2026-03-03 06:42:14.237280+00:00
2016-04-05,144000.0,145000.0,143500.0,144500.0,102352.6796875,292339,2026-03-03 06:42:14.237280+00:00
2016-04-06,144000.0,146000.0,144000.0,144000.0,101998.484375,379789,2026-03-03 06:42:14.237280+00:00
2016-04-07,143500.0,146500.0,143500.0,146500.0,103769.296875,366852,2026-03-03 06:42:14.237280+00:00
2016-04-08,146000.0,146500.0,144000.0,146000.0,103415.1484375,339546,2026-03-03 06:42:14.237280+00:00
2016-04-11,147500.0,147500.0,145000.0,146000.0,103415.1484375,197423,2026-03-03 06:42:14.237280+00:00
2016-04-12,146000.0,150000.0,145000.0,148500.0,105185.9609375,361212,2026-03-03 06:42:14.237280+00:00
2016-04-14,150000.0,152000.0,149500.0,152000.0,107665.09375,496852,2026-03-03 06:42:14.237280+00:00
2016-04-15,150500.0,152000.0,149000.0,151500.0,107310.9140625,297722,2026-03-03 06:42:14.237280+00:00
2016-04-18,150000.0,155000.0,150000.0,154000.0,109081.7265625,406339,2026-03-03 06:42:14.237280+00:00
2016-04-19,155000.0,155000.0,152000.0,153000.0,108373.40625,310407,2026-03-03 06:42:14.237280+00:00
2016-04-20,153500.0,155000.0,151000.0,151500.0,107310.9140625,270230,2026-03-03 06:42:14.237280+00:00
2016-04-21,152000.0,154500.0,152000.0,154000.0,109081.7265625,297646,2026-03-03 06:42:14.237280+00:00
2016-04-22,152000.0,153500.0,150500.0,151000.0,106956.75,318972,2026-03-03 06:42:14.237280+00:00
2016-04-25,151000.0,152000.0,149000.0,149500.0,105894.2890625,273343,2026-03-03 06:42:14.237280+00:00
2016-04-26,149000.0,154000.0,149000.0,153500.0,108727.5625,365930,2026-03-03 06:42:14.237280+00:00
2016-04-27,152000.0,153000.0,148500.0,149000.0,105540.1171875,374037,2026-03-03 06:42:14.237280+00:00
2016-04-28,148500.0,150500.0,147000.0,148000.0,104831.7734375,466520,2026-03-03 06:42:14.237280+00:00
2016-04-29,146500.0,147500.0,142000.0,143500.0,101644.328125,739237,2026-03-03 06:42:14.237280+00:00
2016-05-02,142000.0,144000.0,141500.0,142500.0,100936.015625,242036,2026-03-03 06:42:14.237280+00:00
2016-05-03,143000.0,144000.0,142000.0,142500.0,100936.015625,359029,2026-03-03 06:42:14.237280+00:00
2016-05-04,141500.0,142000.0,138500.0,139000.0,98456.8984375,807340,2026-03-03 06:42:14.237280+00:00
2016-05-09,138500.0,139000.0,135500.0,135500.0,95977.734375,482711,2026-03-03 06:42:14.237280+00:00
2016-05-10,136500.0,140500.0,136500.0,139500.0,98811.03125,346710,2026-03-03 06:42:14.237280+00:00
2016-05-11,140500.0,142000.0,138500.0,139000.0,98456.8984375,284228,2026-03-03 06:42:14.237280+00:00
2016-05-12,138000.0,138500.0,136500.0,136500.0,96686.0625,421047,2026-03-03 06:42:14.237280+00:00
2016-05-13,136000.0,137500.0,135000.0,135000.0,95623.5859375,529746,2026-03-03 06:42:14.237280+00:00
2016-05-16,136500.0,137500.0,135000.0,135500.0,95977.734375,397771,2026-03-03 06:42:14.237280+00:00
2016-05-17,135500.0,136500.0,134500.0,134500.0,95269.4375,314839,2026-03-03 06:42:14.237280+00:00
2016-05-18,135000.0,135500.0,132000.0,133000.0,94206.9453125,630692,2026-03-03 06:42:14.237280+00:00
2016-05-19,132500.0,136000.0,132500.0,134500.0,95269.4375,389055,2026-03-03 06:42:14.237280+00:00
2016-05-20,134000.0,135000.0,131500.0,132000.0,93498.6171875,462176,2026-03-03 06:42:14.237280+00:00
2016-05-23,133000.0,134500.0,133000.0,133000.0,94206.9453125,310458,2026-03-03 06:42:14.237280+00:00
2016-05-24,133000.0,135000.0,132000.0,133500.0,94561.109375,355717,2026-03-03 06:42:14.237280+00:00
2016-05-25,134500.0,137000.0,134000.0,135000.0,95623.5859375,500528,2026-03-03 06:42:14.237280+00:00
2016-05-26,136000.0,137000.0,134500.0,135000.0,95623.5859375,342299,2026-03-03 06:42:14.237280+00:00
2016-05-27,136000.0,136500.0,135000.0,136000.0,96331.90625,346406,2026-03-03 06:42:14.237280+00:00
2016-05-30,136000.0,137500.0,135000.0,136500.0,96686.0625,474129,2026-03-03 06:42:14.237280+00:00
2016-05-31,136500.0,139500.0,135000.0,139500.0,98811.03125,1734508,2026-03-03 06:42:14.237280+00:00
2016-06-01,137500.0,138500.0,136500.0,138000.0,97748.5703125,507997,2026-03-03 06:42:14.237280+00:00
2016-06-02,138500.0,139000.0,136500.0,138000.0,97748.5703125,419054,2026-03-03 06:42:14.237280+00:00
2016-06-03,138000.0,139500.0,137500.0,138500.0,98102.7265625,352778,2026-03-03 06:42:14.237280+00:00
2016-06-07,138500.0,139500.0,137500.0,139500.0,98811.03125,608452,2026-03-03 06:42:14.237280+00:00
2016-06-08,138500.0,141500.0,138500.0,139500.0,98811.03125,598656,2026-03-03 06:42:14.237280+00:00
2016-06-09,139500.0,140500.0,137500.0,139000.0,98456.8984375,578177,2026-03-03 06:42:14.237280+00:00
